result,field,total,top_issuer,top_count
NA,e_ocsp_id_pkix_ocsp_nocheck_ext_not_included_server_auth,7044897,Let's Encrypt,3264105
NA,e_ev_organization_id_missing,7044883,Let's Encrypt,3264105
NA,e_ev_orgid_inconsistent_subj_and_ext,7044883,Let's Encrypt,3264105
NA,e_ev_valid_time_too_long,7044871,Let's Encrypt,3264105
NA,e_invalid_ca_certificate_policies,7044850,Let's Encrypt,3264105
NA,e_sub_ca_aia_missing,7044850,Let's Encrypt,3264105
NA,e_sub_ca_certificate_policies_missing,7044850,Let's Encrypt,3264105
NA,e_sub_ca_crl_distribution_points_missing,7044850,Let's Encrypt,3264105
NA,n_mp_allowed_eku,7044850,Let's Encrypt,3264105
NA,n_sub_ca_eku_missing,7044850,Let's Encrypt,3264105
NA,w_sub_ca_aia_does_not_contain_issuing_ca_url,7044850,Let's Encrypt,3264105
NA,w_sub_ca_aia_missing,7044850,Let's Encrypt,3264105
NA,e_qcstatem_qccompliance_valid,7044706,Let's Encrypt,3264105
NA,e_cabf_org_identifier_psd_vat_has_state,7044531,Let's Encrypt,3264105
NA,e_rsa_allowed_ku_ca,7044385,Let's Encrypt,3264105
NA,e_rsa_allowed_ku_no_encipherment_ca,7044385,Let's Encrypt,3264105
NA,e_root_ca_key_usage_must_be_critical,7044253,Let's Encrypt,3264105
NA,e_ca_crl_sign_not_set,7044246,Let's Encrypt,3264105
NA,e_ca_key_cert_sign_not_set,7044246,Let's Encrypt,3264105
NA,e_ca_key_usage_not_critical,7044246,Let's Encrypt,3264105
NA,n_ca_digital_signature_not_set,7044246,Let's Encrypt,3264105
NA,e_ca_is_ca,7044197,Let's Encrypt,3264105
NA,e_qcstatem_qcretentionperiod_valid,7044166,Let's Encrypt,3264105
NA,e_old_root_ca_rsa_mod_less_than_2048_bits,7044164,Let's Encrypt,3264105
NA,e_qcstatem_qcpds_valid,7044141,Let's Encrypt,3264105
NA,w_qcstatem_qcpds_lang_case,7044141,Let's Encrypt,3264105
NA,e_qcstatem_etsi_present_qcs_critical,7044098,Let's Encrypt,3264105
NA,e_qcstatem_etsi_type_as_statem,7044098,Let's Encrypt,3264105
NA,e_qcstatem_mandatory_etsi_statems,7044098,Let's Encrypt,3264105
NA,e_qcstatem_qctype_valid,7044098,Let's Encrypt,3264105
NA,w_qcstatem_qctype_web,7044098,Let's Encrypt,3264105
NA,e_old_sub_cert_rsa_mod_less_than_1024_bits,7043192,Let's Encrypt,3264105
NA,e_ext_cert_policy_explicit_text_ia5_string,7043124,Let's Encrypt,3263256
NA,e_ext_cert_policy_explicit_text_too_long,7043124,Let's Encrypt,3263256
NA,w_ext_cert_policy_explicit_text_includes_control,7043124,Let's Encrypt,3263256
NA,w_ext_cert_policy_explicit_text_not_nfc,7043124,Let's Encrypt,3263256
NA,w_ext_cert_policy_explicit_text_not_utf8,7043124,Let's Encrypt,3263256
NA,e_subject_postal_code_max_length,7043034,Let's Encrypt,3264105
NA,e_subject_street_address_max_length,7042321,Let's Encrypt,3264105
NA,w_sub_cert_sha1_expiration_too_long,7038520,Let's Encrypt,3264105
NA,e_generalized_time_does_not_include_seconds,7035489,Let's Encrypt,3264105
NA,e_generalized_time_includes_fraction_seconds,7035489,Let's Encrypt,3264105
NA,e_generalized_time_not_in_zulu,7035489,Let's Encrypt,3264105
NA,e_ext_ian_dns_not_ia5_string,7032418,Let's Encrypt,3264105
NA,e_ext_ian_empty_name,7032418,Let's Encrypt,3264105
NA,e_ext_ian_no_entries,7032418,Let's Encrypt,3264105
NA,e_ext_ian_rfc822_format_invalid,7032418,Let's Encrypt,3264105
NA,e_ext_ian_space_dns_name,7032418,Let's Encrypt,3264105
NA,e_ext_ian_uri_format_invalid,7032418,Let's Encrypt,3264105
NA,e_ext_ian_uri_host_not_fqdn_or_ip,7032418,Let's Encrypt,3264105
NA,e_ext_ian_uri_not_ia5,7032418,Let's Encrypt,3264105
NA,e_ext_ian_uri_relative,7032418,Let's Encrypt,3264105
NA,e_ian_bare_wildcard,7032418,Let's Encrypt,3264105
NA,e_ian_dns_name_includes_null_char,7032418,Let's Encrypt,3264105
NA,e_ian_dns_name_starts_with_period,7032418,Let's Encrypt,3264105
NA,e_ian_wildcard_not_first,7032418,Let's Encrypt,3264105
NA,w_ext_ian_critical,7032418,Let's Encrypt,3264105
NA,w_ian_iana_pub_suffix_empty,7032418,Let's Encrypt,3264105
NA,e_ev_invalid_business_category,7025693,Let's Encrypt,3264105
NA,e_ev_business_category_missing,7025692,Let's Encrypt,3264105
NA,e_ev_country_name_missing,7025692,Let's Encrypt,3264105
NA,e_ev_not_wildcard,7025692,Let's Encrypt,3264105
NA,e_ev_organization_name_missing,7025692,Let's Encrypt,3264105
NA,e_ev_san_ip_address_present,7025692,Let's Encrypt,3264105
NA,e_ev_serial_number_missing,7025692,Let's Encrypt,3264105
NA,e_subject_dn_serial_number_max_length,7022330,Let's Encrypt,3264105
NA,e_subject_dn_serial_number_not_printable_string,7022330,Let's Encrypt,3264105
NA,e_subject_email_max_length,7005614,Let's Encrypt,3264105
NA,e_ca_country_name_invalid,6999790,Let's Encrypt,3264105
NA,e_root_ca_extended_key_usage_present,6995020,Let's Encrypt,3264105
NA,e_root_ca_key_usage_present,6995020,Let's Encrypt,3264105
NA,w_root_ca_basic_constraints_path_len_constraint_field_present,6995020,Let's Encrypt,3264105
NA,w_root_ca_contains_cert_policy,6995020,Let's Encrypt,3264105
NA,e_basic_constraints_not_critical,6994903,Let's Encrypt,3264105
NA,e_ca_common_name_missing,6994903,Let's Encrypt,3264105
NA,e_ca_country_name_missing,6994903,Let's Encrypt,3264105
NA,e_ca_key_usage_missing,6994903,Let's Encrypt,3264105
NA,e_ca_organization_name_missing,6994903,Let's Encrypt,3264105
NA,e_ca_subject_field_empty,6994903,Let's Encrypt,3264105
NA,e_ext_subject_key_identifier_missing_ca,6994903,Let's Encrypt,3264105
NA,e_subj_orgunit_in_ca_cert,6994903,Let's Encrypt,3264105
NA,e_subject_contains_organizational_unit_name_and_no_organization_name,6983030,Let's Encrypt,3264105
NA,e_subject_organizational_unit_name_max_length,6983017,Let's Encrypt,3264105
NA,e_subject_locality_name_max_length,6407818,Let's Encrypt,3264105
NA,e_cert_policy_ov_requires_province_or_locality,6360319,Let's Encrypt,3264105
NA,e_cab_ov_requires_org,6360318,Let's Encrypt,3264105
NA,e_cert_policy_ov_requires_country,6360318,Let's Encrypt,3264105
NA,e_subject_state_name_max_length,6309234,Let's Encrypt,3264105
NA,e_subject_dn_country_not_printable_string,6263424,Let's Encrypt,3264105
NA,e_subject_organization_name_max_length,6260889,Let's Encrypt,3264105
NA,e_mp_ecdsa_signature_encoding_correct,4920103,Let's Encrypt,2702680
NA,n_ecdsa_ee_invalid_ku,4699575,Let's Encrypt,2700062
NA,e_ecdsa_allowed_ku,4699431,Let's Encrypt,2700062
NA,e_ec_improper_curves,4699348,Let's Encrypt,2700062
NA,e_mp_ecdsa_pub_key_encoding_correct,4699347,Let's Encrypt,2700062
NA,e_crl_distrib_points_not_http,3849034,Let's Encrypt,3264105
NA,e_crlissuer_must_not_be_present_in_cdp,3849034,Let's Encrypt,3264105
NA,e_sub_cert_crl_distribution_points_does_not_contain_url,3849030,Let's Encrypt,3264105
NA,e_sub_cert_crl_distribution_points_marked_critical,3849030,Let's Encrypt,3264105
NA,e_distribution_point_incomplete,3848975,Let's Encrypt,3264105
NA,w_distribution_point_missing_ldap_or_uri,3848975,Let's Encrypt,3264105
NA,w_ext_crl_distribution_marked_critical,3848975,Let's Encrypt,3264105
NA,e_rsa_allowed_ku_ee,2459455,Google Trust Services,1448630
NA,e_rsa_mod_less_than_2048_bits,2348668,Google Trust Services,1448630
NA,e_rsa_public_exponent_not_odd,2345687,Google Trust Services,1448630
NA,e_rsa_public_exponent_too_small,2345687,Google Trust Services,1448630
NA,w_rsa_mod_factors_smaller_than_752,2345687,Google Trust Services,1448630
NA,w_rsa_mod_not_odd,2345687,Google Trust Services,1448630
NA,w_rsa_public_exponent_not_in_range,2345687,Google Trust Services,1448630
NA,e_mp_exponent_cannot_be_one,2345620,Google Trust Services,1448630
NA,e_mp_modulus_must_be_2048_bits_or_more,2345620,Google Trust Services,1448630
NA,e_mp_modulus_must_be_divisible_by_8,2345620,Google Trust Services,1448630
NA,e_rsa_exp_negative,2345620,Google Trust Services,1448630
NA,e_rsa_fermat_factorization,2345620,Google Trust Services,1448630
NA,e_rsa_no_public_key,2345620,Google Trust Services,1448630
NA,e_spki_rsa_encryption_parameter_not_null,2345620,Google Trust Services,1448630
NA,e_tbs_signature_rsa_encryption_parameter_not_null,2124928,Google Trust Services,1395247
NA,e_cab_dv_conflicts_with_locality,824767,DigiCert Inc,378769
NA,e_cab_dv_conflicts_with_org,824767,DigiCert Inc,378769
NA,e_cab_dv_conflicts_with_postal,824767,DigiCert Inc,378769
NA,e_cab_dv_conflicts_with_province,824767,DigiCert Inc,378769
NA,e_cab_dv_conflicts_with_street,824767,DigiCert Inc,378769
NA,e_cab_dv_subject_invalid_values,824767,DigiCert Inc,378769
NA,e_sub_cert_basic_constraints_not_critical,139792,,37906
NA,e_sub_cert_not_is_ca,134630,,36980
NA,e_ext_cert_policy_duplicate,119500,,38280
NA,e_invalid_cps_uri,119500,,38280
NA,e_policy_qualifiers_other_than_cps_not_permitted,119500,,38280
NA,w_ext_cert_policy_contains_noticeref,119500,,38280
NA,w_sub_cert_certificate_policies_marked_critical,119500,,38280
NA,e_aia_ca_issuers_must_have_http_only,119117,,38031
NA,w_ext_aia_access_location_missing,119116,,38031
NA,e_aia_ocsp_must_have_http_only,118921,,38253
NA,e_aia_must_contain_permitted_access_method,118161,,38030
NA,e_aia_unique_access_locations,118161,,38030
NA,e_sub_cert_aia_marked_critical,118161,,38030
NA,w_sub_cert_aia_contains_internal_names,118161,,38030
NA,e_ext_aia_marked_critical,118160,,38030
NA,e_key_usage_and_extended_key_usage_inconsistent,114739,,37695
NA,e_eku_critical,114530,,37691
NA,e_sub_cert_eku_check,114530,,37691
NA,w_sub_cert_eku_extra_values,114530,,37691
NA,e_underscore_present_with_too_long_validity,113376,,37506
NA,e_dnsname_hyphen_in_sld,112901,,37821
NA,e_dnsname_underscore_in_sld,112901,,37821
